Date,Open,High,Low,Close,Adj Close,Volume
31-Aug-22,0.68574,0.690422,0.68434,0.68574,0.68574,0
01-Sep-22,0.68285,0.68436,0.677172,0.68285,0.68285,0
02-Sep-22,0.67953,0.68538,0.678109,0.67953,0.67953,0
05-Sep-22,0.67903,0.680411,0.67736,0.67903,0.67903,0
06-Sep-22,0.6814,0.6835,0.6733,0.6814,0.6814,0
07-Sep-22,0.673011,0.67363,0.670008,0.673011,0.673011,0
08-Sep-22,0.67514,0.67635,0.67139,0.67514,0.67514,0
09-Sep-22,0.67659,0.687711,0.67644,0.67659,0.67659,0
12-Sep-22,0.6847,0.68892,0.682538,0.6847,0.6847,0
13-Sep-22,0.689398,0.6918,0.67619,0.689398,0.689398,0
14-Sep-22,0.6743,0.676018,0.67058,0.6743,0.6743,0
15-Sep-22,0.67518,0.67697,0.67061,0.67518,0.67518,0
16-Sep-22,0.66873,0.6727,0.667049,0.66873,0.66873,0
19-Sep-22,0.6727,0.673111,0.667289,0.6727,0.6727,0
20-Sep-22,0.67337,0.674741,0.668539,0.67337,0.67337,0
21-Sep-22,0.66942,0.6704,0.66556,0.66942,0.66942,0
22-Sep-22,0.66101,0.667147,0.65754,0.66101,0.66101,0
23-Sep-22,0.66454,0.665549,0.6537,0.66454,0.66454,0
26-Sep-22,0.65307,0.65368,0.64583,0.65307,0.65307,0
27-Sep-22,0.6476,0.65124,0.64422,0.6476,0.6476,0
28-Sep-22,0.6438,0.651249,0.63661,0.6438,0.6438,0
29-Sep-22,0.6505,0.6509,0.64367,0.6505,0.6505,0
30-Sep-22,0.6513,0.65205,0.642797,0.6513,0.6513,0
03-Oct-22,0.642096,0.651699,0.64126,0.642096,0.642096,0
04-Oct-22,0.65018,0.65452,0.645249,0.65018,0.65018,0
05-Oct-22,0.65141,0.65246,0.6417,0.65141,0.65141,0
06-Oct-22,0.65127,0.6541,0.639161,0.65127,0.65127,0
07-Oct-22,0.641441,0.6434,0.6375,0.641441,0.641441,0
10-Oct-22,0.7362,0.7365,0.627699,0.636983,0.636983,0
11-Oct-22,0.629481,0.632871,0.62483,0.629481,0.629481,0
12-Oct-22,0.626641,0.6289,0.62397,0.626641,0.626641,0
13-Oct-22,0.627731,0.62989,0.61762,0.627731,0.627731,0
14-Oct-22,0.6301,0.63467,0.62157,0.6301,0.6301,0
17-Oct-22,0.622394,0.6311,0.62118,0.622394,0.622394,0
18-Oct-22,0.629882,0.63398,0.62689,0.629882,0.629882,0
19-Oct-22,0.63164,0.6327,0.627081,0.63164,0.63164,0
20-Oct-22,0.62637,0.635409,0.622921,0.62637,0.62637,0
21-Oct-22,0.627471,0.6368,0.62129,0.627471,0.627471,0
24-Oct-22,0.63719,0.637231,0.627451,0.63719,0.63719,0
25-Oct-22,0.63296,0.641079,0.6305,0.63296,0.63296,0
26-Oct-22,0.63857,0.6511,0.63738,0.63857,0.63857,0
27-Oct-22,0.64935,0.6524,0.6428,0.64935,0.64935,0
28-Oct-22,0.645091,0.648,0.639161,0.645091,0.645091,0
31-Oct-22,0.640131,0.643004,0.6369,0.640131,0.640131,0
01-Nov-22,0.64099,0.646371,0.63838,0.64099,0.64099,0
02-Nov-22,0.63967,0.643087,0.6387,0.63967,0.63967,0
03-Nov-22,0.63385,0.63724,0.627451,0.63385,0.63385,0
04-Nov-22,0.628852,0.647538,0.628591,0.628852,0.628852,0
07-Nov-22,0.643932,0.6489,0.640771,0.643932,0.643932,0
08-Nov-22,0.64748,0.655,0.644492,0.64748,0.64748,0
09-Nov-22,0.650919,0.652,0.643339,0.650919,0.650919,0
10-Nov-22,0.643418,0.6597,0.63887,0.643418,0.643418,0
11-Nov-22,0.66069,0.6703,0.65803,0.66069,0.66069,0
14-Nov-22,0.669882,0.671592,0.66643,0.669882,0.669882,0
15-Nov-22,0.66919,0.67928,0.66873,0.66919,0.66919,0
16-Nov-22,0.67695,0.6794,0.673102,0.67695,0.67695,0
17-Nov-22,0.67395,0.675078,0.66352,0.67395,0.67395,0
18-Nov-22,0.66892,0.672988,0.66622,0.66892,0.66892,0
21-Nov-22,0.668208,0.668369,0.65858,0.668208,0.668208,0
22-Nov-22,0.66078,0.665088,0.660541,0.66078,0.66078,0
23-Nov-22,0.664982,0.672269,0.66348,0.664982,0.664982,0
24-Nov-22,0.67435,0.6779,0.67329,0.67435,0.67435,0
25-Nov-22,0.67656,0.6782,0.67214,0.67656,0.67656,0
28-Nov-22,0.671191,0.6724,0.66663,0.671191,0.671191,0
29-Nov-22,0.665199,0.67486,0.66409,0.665199,0.665199,0
30-Nov-22,0.668409,0.674018,0.66757,0.668409,0.668409,0
01-Dec-22,0.67996,0.6841,0.67917,0.67996,0.67996,0
02-Dec-22,0.681102,0.68349,0.67469,0.681102,0.681102,0
05-Dec-22,0.681301,0.68505,0.671,0.681301,0.681301,0
06-Dec-22,0.670781,0.67437,0.66905,0.670781,0.670781,0
07-Dec-22,0.669882,0.6737,0.66695,0.669882,0.669882,0
08-Dec-22,0.6727,0.678104,0.67004,0.6727,0.6727,0
09-Dec-22,0.67765,0.6815,0.67504,0.67765,0.67765,0
12-Dec-22,0.678141,0.67933,0.673011,0.678141,0.678141,0
13-Dec-22,0.6754,0.6893,0.674118,0.6754,0.6754,0
14-Dec-22,0.68423,0.68746,0.6822,0.68423,0.68423,0
15-Dec-22,0.68578,0.68701,0.669851,0.68578,0.68578,0
16-Dec-22,0.670592,0.6737,0.66767,0.670592,0.670592,0
19-Dec-22,0.668749,0.6735,0.66865,0.668749,0.668749,0
20-Dec-22,0.670781,0.67399,0.663,0.670781,0.670781,0
21-Dec-22,0.66885,0.67276,0.66571,0.66885,0.66885,0
22-Dec-22,0.671682,0.6768,0.667,0.671682,0.671682,0
23-Dec-22,0.6678,0.671321,0.666138,0.6678,0.6678,0
26-Dec-22,0.671249,0.67757,0.668181,0.671249,0.671249,0
27-Dec-22,0.674459,0.678,0.67258,0.674459,0.674459,0
