Date,Relative_interest_rate,Open,High,Low,Close,Adj Close,AU_interest_rate,US_interest_rate
Sep-22,-0.33,0.68285,0.6918,0.63661,0.6513,0.6513,2.35,3.13
Oct-22,-0.49,0.6513,0.7365,0.61762,0.640131,0.640131,2.6,3.88
Nov-22,-0.54,0.64099,0.6794,0.627451,0.668409,0.668409,2.85,4.38
Dec-22,-0.41,0.67996,0.6893,0.663,0.6807,0.6807,3.1,4.38
Jan-23,-0.49,0.6807,0.71541,0.668919,0.70581,0.70581,3.1,4.63
Feb-23,-0.46,0.70514,0.71561,0.66988,0.6743,0.6743,3.35,4.88
Mar-23,-0.36,0.673079,0.678398,0.65668,0.671682,0.671682,3.6,4.88
Apr-23,-0.43,0.671682,0.6794,0.65761,0.661682,0.661682,3.6,5.13
May-23,-0.33,0.66124,0.68177,0.64645,0.65178,0.65178,3.85,5.13
Jun-23,-0.31,0.65064,0.69465,0.6486,0.661971,0.661971,4.1,5.38
Jul-23,-0.31,0.661971,0.6897,0.660018,0.666081,0.666081,4.1,5.38
Aug-23,-0.31,0.671682,0.67232,0.6367,0.647878,0.647878,4.1,5.38
Sep-23,-0.28,0.648841,0.6549,0.634909,0.642797,0.642797,4.1,5.25
Oct-23,-0.43,0.642797,0.6503,0.62716,0.6371,0.6371,3.85,5.5
Nov-23,1.00,0.633995,0.650915,0.63193,0.64279,0.64279,4.1,
